"","Plate","Week","Line","Mean.Firing.Rate.Hz","ISI.Coefficient.of.Variation.Avg","Network.ISI.Coefficient.of.Variation","Weighted.Mean.Firing.Rate.Hz","Burst.Duration.Avg.sec","Burst.Duration.Std.sec","Number.of.Spikes.per.Burst.Avg","Number.of.Spikes.per.Burst.Std","Mean.ISI.within.Burst.Avg.sec","Mean.ISI.within.Burst.Std.sec","Median.ISI.within.Burst.Avg.sec","Inter.Burst.Interval.Avg.sec","Inter.Burst.Interval.Std.sec","Burst.Frequency.Avg.Hz","Burst.Frequency.Std.Hz","Normalized.Duration.IQR.Avg","IBI.Coefficient.of.Variation.Avg","Burst.Percentage.Avg","Network.Burst.Frequency","Network.Burst.Duration.Avg.sec","Network.Burst.Duration.Std.sec","Number.of.Spikes.per.Network.Burst.Avg","Number.of.Spikes.per.Network.Burst.Std","Mean.ISI.within.Network.Burst.Avg.sec","Mean.ISI.within.Network.Burst.Std.sec","Median.ISI.within.Network.Burst.Avg.sec","ISI.CoV.within.Network.Burst.Avg","Network.Burst.Percentage","Network.IBI.Coefficient.of.Variation","Network.Normalized.Duration.IQR","Area.Under.Normalized.Cross.Correlation","Full.Width.at.Half.Height.of.Normalized.Cross.Correlation","Synchrony.Index","Kreuz.SPIKE.Distance","Burst.Peak.Max.Spikes.per.sec","Time.to.Burst.Peak.ms"
"1342",38,5,"KO",2.346615,2.145781,3.346583,3.565873,0.452505,1.188086,18.031232,25.484077,0.100236,0.402171,0.031229,15.691917,22.223282,0.127207,0.087024,0.800142,0.476148,39.788254,0.183333,0.912493,0.048486,693.254545,39.279727,0.001321,8.2e-05,0.000432,3.333705,84.627677,0.32463,0.065288,0.119364,43,0.239813,0.572179,3181.818182,386.5
"1343",38,6,"KO",4.241823,2.128131,3.327923,6.02563,0.715834,3.099506,18.983248,22.506737,0.096204,0.443895,0.118367,8.958971,17.933749,0.245619,0.123139,0.52044,0.395749,41.446588,0.34,0.798561,0.041686,711.431373,55.159088,0.001128,6.8e-05,0.00036,3.251752,89.100352,0.160427,0.049781,0.161572,38,0.279835,0.531675,3813.72549,328.5
"1344",38,6,"KO",7.157396,3.530801,3.483304,8.032047,0.375869,0.469405,40.960379,43.89744,0.045493,0.164868,0.020666,12.604358,26.078143,0.131091,0.061631,0.455932,0.580321,60.076083,0.17,1.003533,0.041264,2375.137255,213.545969,0.000425,2.3e-05,0.00016,4.040427,88.146003,0.518685,0.039935,0.309288,35,0.471962,0.723526,9450.980392,354.5
"1345",38,7,"KO",9.886302,2.889542,3.590767,11.096959,0.203085,0.067331,29.277847,29.247597,0.018266,0.015508,0.015177,11.941491,21.447593,0.255556,0.126453,0.391325,0.36729,59.198318,0.336667,0.809496,0.024156,1694.227723,116.03214,0.00048,2.4e-05,0.00016,3.81979,90.148406,0.174541,0.024714,0.325963,36,0.493126,0.704625,9227.722772,326.5
"1346",38,7,"KO",4.712917,2.757379,5.366204,5.382619,0.222383,0.376604,17.21936,17.108047,0.038076,0.130093,0.017668,8.459779,13.498301,0.222051,0.12076,0.524599,0.474312,55.910103,0.313333,0.737117,0.057728,909.968085,96.614905,0.000817,7.9e-05,0.000221,5.353813,94.528556,0.294321,0.095199,0.328434,34,0.428689,0.765069,6106.382979,330.5
"1347",38,8,"KO",6.890365,3.19304,6.919377,8.474295,0.179044,0.072226,23.701323,21.490977,0.01591,0.012131,0.013357,5.313155,5.09335,0.255556,0.131328,0.420282,0.359664,61.770684,0.343333,0.727157,0.061074,1240,91.240041,0.000588,4.8e-05,0.00016,6.292618,96.541819,0.217488,0.082247,0.365411,30,0.492278,0.655851,7417.475728,308.5
"1348",38,8,"KO",3.916458,2.503374,9.68937,4.725597,0.115767,0.04398,12.658563,11.222963,0.01534,0.007344,0.013007,9.703558,19.512249,0.287222,0.149774,0.566926,0.445305,56.202962,0.41,0.501244,0.099394,599.934959,53.792366,0.00084,0.000167,0.000236,6.430736,98.132879,0.182294,0.197078,0.356804,29,0.453654,0.721149,3447.154472,324.5
"1349",38,9,"KO",4.129062,2.455586,7.156403,5.077692,0.124891,0.091388,12.605711,11.14142,0.019438,0.027859,0.017144,11.886658,27.212269,0.288125,0.168342,0.501019,0.439659,51.76594,0.433333,0.546852,0.105784,589.138462,47.504182,0.000932,0.000175,0.000234,6.644185,96.606877,0.186546,0.278882,0.34571,25,0.404968,0.741241,4038.461538,314.5
"1350",38,5,"KO",1.300104,1.654632,2.797395,2.759222,0.53613,1.336721,12.030413,18.046264,0.136902,0.446512,0.168482,14.172788,14.097771,0.122778,0.103446,0.65817,0.662999,23.581153,0.223333,0.863915,0.06035,293.641791,20.319942,0.002962,0.000248,0.001151,2.407712,78.8158,0.364919,0.080047,0.046768,52,0.11281,0.450488,1313.432836,388.5
"1351",38,2,"KO",0.169323,2.174268,2.885601,3.571111,3.893945,5.287257,12.922222,2.718433,0.378557,0.52122,0.307786,49.128764,66.34262,0.228333,0.313484,2.574591,1.594414,7.527851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6e-05,35,0.002731,0.018723,NA,NA
"1352",38,2,"KO",0.011198,1.268843,1.162665,0.328333,1.18156,0.352365,4.25,0.353553,0.364643,0.158764,0.13235,217.93672,0,0.005,0.002357,NA,NA,1.815769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.6e-05,8,0.000115,0.001377,NA,NA
"1353",38,3,"KO",0.017917,1.439208,1.306324,0.326667,21.93756,18.617718,12.083333,6.875379,1.650802,1.511047,1.18193,69.793413,0,0.006667,0.005774,0.440224,0.913823,11.457418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000369,12,0.001422,0.017928,NA,NA
"1354",38,3,"KO",0.113698,1.558037,1.224602,0.791852,2.026205,4.347153,6.045635,3.918996,0.198613,0.312787,0.163112,41.716047,31.286358,0.035556,0.052901,0.417788,0.924582,6.565085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000865,70,0.005558,0.050796,NA,NA
"1355",38,4,"KO",0.309688,1.318594,1.509383,1.153922,2.322889,3.620982,8.395243,7.315478,0.260844,0.322721,0.226334,15.385456,18.064912,0.143667,0.191146,0.763686,0.879377,15.166714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003344,160,0.019078,0.102841,NA,NA
"1356",38,4,"KO",1.088542,1.967558,3.013817,2.663718,0.268777,0.081982,12.920166,12.594485,0.041061,0.028824,0.036431,13.886345,15.849526,0.15,0.097086,0.436882,0.549968,26.649086,0.203333,0.88814,0.070825,273.196721,22.795336,0.003284,0.000363,0.00133,2.332335,79.736842,0.361402,0.088852,0.050306,71,0.119198,0.33801,1114.754098,411.5
"1357",38,5,"KO",2.919792,2.799907,4.346594,4.058623,0.24391,0.089318,20.967696,21.43818,0.025929,0.018857,0.021791,14.889997,24.40864,0.138254,0.070777,0.471798,0.390602,50.417293,0.186667,0.867251,0.052194,911.053571,52.2405,0.000956,7.7e-05,0.00031,4.527394,91.007849,0.264249,0.068596,0.206441,47,0.344918,0.609202,4285.714286,375.5
"1358",38,6,"KO",4.985052,2.547604,4.201501,6.783333,0.182281,0.059993,16.43507,16.765802,0.02396,0.016058,0.021309,14.089085,31.700094,0.246377,0.14826,0.437107,0.415615,52.220266,0.373333,0.768339,0.036669,779.357143,47.669632,0.00099,5.8e-05,0.000288,3.819506,91.197643,0.119103,0.052014,0.222575,40,0.401599,0.53213,4500,320.5
